Fitur Asli,Ranking (1 = Terpilih),Status Terpilih
Accessibility,1,True
Customer_Support,3,False
Security,5,False
Perceived_Usefulness,1,True
Perceived_Ease_of_Use,1,True
Subjective_Norm,1,True
Perceived_Behavioral_Control,2,False
Behavioral_Intention,4,False
